,datastreamid,datastreamname,siteid,variableid,fieldname,deviceid,methodid,comments,qualitycontrollevelid,rangemin,rangemax,annualtiming,downloaddate,bdate,edate
97,40912,NPS_EVCA2,15777,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
98,40913,NPS_ELLA2,15778,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
99,40914,NPS_GGLA2,15779,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
100,40915,NPS_HOWA2,15780,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
101,40916,NPS_IMYA2,15781,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
102,40917,NPS_KAUA2,15782,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
103,40918,NPS_KLIA2,15783,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
104,40919,NPS_KUGA2,15784,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
105,40920,NPS_MITA2,15785,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
106,40921,NPS_MNOA2,15786,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
107,40922,NPS_PAMA2,15787,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
108,40923,NPS_RAMA2,15788,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
109,40924,NPS_RUGA2,15789,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
110,40925,NPS_SRWA2,15790,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
111,40926,NPS_SRTA2,15791,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
112,40927,NPS_SSIA2,15792,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
113,40928,NPS_SMPA2,15793,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
114,40929,NPS_TAHA2,15794,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
115,40930,NPS_TANA2,15795,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
116,40931,NPS_TEBA2,15796,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
117,40932,NPS_TKLA2,15797,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
118,40933,NPS_UPRA2,15798,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
119,40934,NPS_WIGA2,15799,1173,NPS_Avg_Air_temp,1,33,,,,,,2016-12-01,,
120,40935,NPS_ASIA2,15770,1174,NPS_RH,1,33,,,,,,2016-12-01,,
121,40936,NPS_CREA2,15771,1174,NPS_RH,1,33,,,,,,2016-12-01,,
122,40937,NPS_CHMA2,15772,1174,NPS_RH,1,33,,,,,,2016-12-01,,
123,40938,NPS_CTUA2,15773,1174,NPS_RH,1,33,,,,,,2016-12-01,,
124,40939,NPS_CCLA2,15774,1174,NPS_RH,1,33,,,,,,2016-12-01,,
125,40940,NPS_DVLA2,15775,1174,NPS_RH,1,33,,,,,,2016-12-01,,
126,40941,NPS_DKLA2,15776,1174,NPS_RH,1,33,,,,,,2016-12-01,,
127,40942,NPS_EVCA2,15777,1174,NPS_RH,1,33,,,,,,2016-12-01,,
128,40943,NPS_ELLA2,15778,1174,NPS_RH,1,33,,,,,,2016-12-01,,
129,40944,NPS_GGLA2,15779,1174,NPS_RH,1,33,,,,,,2016-12-01,,
130,40945,NPS_HOWA2,15780,1174,NPS_RH,1,33,,,,,,2016-12-01,,
131,40946,NPS_IMYA2,15781,1174,NPS_RH,1,33,,,,,,2016-12-01,,
