datastreamid,datastreamname,siteid,variableid,fieldname,deviceid,methodid,comments,qualitycontrollevelid,rangemin,rangemax,annualtiming,downloaddate,bdate,edate
41284,NPS_RUGA2,15789,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41285,NPS_SRWA2,15790,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41286,NPS_SRTA2,15791,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41287,NPS_SSIA2,15792,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41288,NPS_SMPA2,15793,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41289,NPS_TAHA2,15794,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41290,NPS_TANA2,15795,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41291,NPS_TEBA2,15796,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41292,NPS_TKLA2,15797,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41293,NPS_UPRA2,15798,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41294,NPS_WIGA2,15799,1173,NPS_Avg_Air_temp,1,33,,,,,,12/1/16,,
41295,NPS_ASIA2,15770,1174,NPS_RH,1,33,,,,,,12/1/16,,
41296,NPS_CREA2,15771,1174,NPS_RH,1,33,,,,,,12/1/16,,
41297,NPS_CHMA2,15772,1174,NPS_RH,1,33,,,,,,12/1/16,,
41298,NPS_CTUA2,15773,1174,NPS_RH,1,33,,,,,,12/1/16,,
41299,NPS_CCLA2,15774,1174,NPS_RH,1,33,,,,,,12/1/16,,
41300,NPS_DVLA2,15775,1174,NPS_RH,1,33,,,,,,12/1/16,,
41301,NPS_DKLA2,15776,1174,NPS_RH,1,33,,,,,,12/1/16,,
41302,NPS_EVCA2,15777,1174,NPS_RH,1,33,,,,,,12/1/16,,
41303,NPS_ELLA2,15778,1174,NPS_RH,1,33,,,,,,12/1/16,,
41304,NPS_GGLA2,15779,1174,NPS_RH,1,33,,,,,,12/1/16,,
41305,NPS_HOWA2,15780,1174,NPS_RH,1,33,,,,,,12/1/16,,
41306,NPS_IMYA2,15781,1174,NPS_RH,1,33,,,,,,12/1/16,,
41307,NPS_KAUA2,15782,1174,NPS_RH,1,33,,,,,,12/1/16,,
41308,NPS_KLIA2,15783,1174,NPS_RH,1,33,,,,,,12/1/16,,
41309,NPS_KUGA2,15784,1174,NPS_RH,1,33,,,,,,12/1/16,,
41310,NPS_MITA2,15785,1174,NPS_RH,1,33,,,,,,12/1/16,,
41311,NPS_MNOA2,15786,1174,NPS_RH,1,33,,,,,,12/1/16,,
41312,NPS_PAMA2,15787,1174,NPS_RH,1,33,,,,,,12/1/16,,
41313,NPS_RAMA2,15788,1174,NPS_RH,1,33,,,,,,12/1/16,,
41314,NPS_RUGA2,15789,1174,NPS_RH,1,33,,,,,,12/1/16,,
41315,NPS_SRWA2,15790,1174,NPS_RH,1,33,,,,,,12/1/16,,
41316,NPS_SRTA2,15791,1174,NPS_RH,1,33,,,,,,12/1/16,,
41317,NPS_SSIA2,15792,1174,NPS_RH,1,33,,,,,,12/1/16,,
41318,NPS_SMPA2,15793,1174,NPS_RH,1,33,,,,,,12/1/16,,
41319,NPS_TAHA2,15794,1174,NPS_RH,1,33,,,,,,12/1/16,,
41320,NPS_TANA2,15795,1174,NPS_RH,1,33,,,,,,12/1/16,,
41321,NPS_TEBA2,15796,1174,NPS_RH,1,33,,,,,,12/1/16,,
41322,NPS_TKLA2,15797,1174,NPS_RH,1,33,,,,,,12/1/16,,
41323,NPS_UPRA2,15798,1174,NPS_RH,1,33,,,,,,12/1/16,,
41324,NPS_WIGA2,15799,1174,NPS_RH,1,33,,,,,,12/1/16,,
41325,NPS_ASIA2,15770,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41326,NPS_CREA2,15771,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41327,NPS_CHMA2,15772,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41328,NPS_CTUA2,15773,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41329,NPS_CCLA2,15774,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41330,NPS_DVLA2,15775,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41331,NPS_DKLA2,15776,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41332,NPS_EVCA2,15777,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41333,NPS_ELLA2,15778,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41334,NPS_GGLA2,15779,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41335,NPS_HOWA2,15780,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41336,NPS_IMYA2,15781,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41337,NPS_KAUA2,15782,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41338,NPS_KLIA2,15783,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41339,NPS_KUGA2,15784,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41340,NPS_MITA2,15785,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41341,NPS_MNOA2,15786,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41342,NPS_PAMA2,15787,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41343,NPS_RAMA2,15788,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41344,NPS_RUGA2,15789,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41345,NPS_SRWA2,15790,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41346,NPS_SRTA2,15791,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41347,NPS_SSIA2,15792,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41348,NPS_SMPA2,15793,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41349,NPS_TAHA2,15794,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41350,NPS_TANA2,15795,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41351,NPS_TEBA2,15796,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41352,NPS_TKLA2,15797,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41353,NPS_UPRA2,15798,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41354,NPS_WIGA2,15799,1175,NPS_Battery_Voltage,1,33,,,,,,12/1/16,,
41355,NPS_ASIA2,15770,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41356,NPS_CREA2,15771,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41357,NPS_CHMA2,15772,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41358,NPS_CTUA2,15773,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41359,NPS_CCLA2,15774,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41360,NPS_DVLA2,15775,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41361,NPS_DKLA2,15776,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41362,NPS_EVCA2,15777,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41363,NPS_ELLA2,15778,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41364,NPS_GGLA2,15779,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41365,NPS_HOWA2,15780,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41366,NPS_IMYA2,15781,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41367,NPS_KAUA2,15782,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41368,NPS_KLIA2,15783,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41369,NPS_KUGA2,15784,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41370,NPS_MITA2,15785,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41371,NPS_MNOA2,15786,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41372,NPS_PAMA2,15787,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41373,NPS_RAMA2,15788,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41374,NPS_RUGA2,15789,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41375,NPS_SRWA2,15790,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41376,NPS_SRTA2,15791,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41377,NPS_SSIA2,15792,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41378,NPS_SMPA2,15793,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41379,NPS_TAHA2,15794,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41380,NPS_TANA2,15795,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41381,NPS_TEBA2,15796,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41382,NPS_TKLA2,15797,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41383,NPS_UPRA2,15798,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41384,NPS_WIGA2,15799,1176,NPS_Gust_Dir,1,33,,,,,,12/1/16,,
41385,NPS_ASIA2,15770,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41386,NPS_CREA2,15771,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41387,NPS_CHMA2,15772,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41388,NPS_CTUA2,15773,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41389,NPS_CCLA2,15774,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41390,NPS_DVLA2,15775,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41391,NPS_DKLA2,15776,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41392,NPS_EVCA2,15777,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41393,NPS_ELLA2,15778,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41394,NPS_GGLA2,15779,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41395,NPS_HOWA2,15780,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41396,NPS_IMYA2,15781,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41397,NPS_KAUA2,15782,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41398,NPS_KLIA2,15783,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41399,NPS_KUGA2,15784,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41400,NPS_MITA2,15785,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41401,NPS_MNOA2,15786,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41402,NPS_PAMA2,15787,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41403,NPS_RAMA2,15788,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41404,NPS_RUGA2,15789,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41405,NPS_SRWA2,15790,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41406,NPS_SRTA2,15791,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41407,NPS_SSIA2,15792,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41408,NPS_SMPA2,15793,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
