308	"UAF-WERC-NSL_WaterChem: L9817-3, 5/15/2007 1335	"
309	"UAF-WERC-NSL_WaterChem: L9817-4, 5/15/2007 1808	"
310	"UAF-WERC-NSL_WaterChem: L9817-20, 5/15/2007 1420	"
311	"UAF-WERC-NSL_WaterChem: MSBN-CT  (pg 1 of 2), 5/9/2007 1233	"
312	"UAF-WERC-NSL_WaterChem: MSBS-CT  (pg 1 of 2), 5/9/2007 1412	"
313	"UAF-WERC-NSL_WaterChem: MSBS-SW, 5/9/2007 1540	"
314	"UAF-WERC-NSL_WaterChem: Duck - CT, 5/11/2007 1544	"
315	"UAF-WERC-NSL_WaterChem: Webster-res-CT, 5/11/2007 1826	"
316	"UAF-WERC-NSL_WaterChem: KDA1-CT, 11/16/2007 1320	"
317	"UAF-WERC-NSL_WaterChem: KDA2-CT, 11/16/2007 1130	"
318	"UAF-WERC-NSL_WaterChem: L9312 Raft B, 11/13/2007 1249	"
319	"UAF-WERC-NSL_WaterChem: L9312 Screen, 11/13/2007 1345	"
320	"UAF-WERC-NSL_WaterChem: L9312 SH, 11/13/2007 1449	"
321	"UAF-WERC-NSL_WaterChem: L9312 SH_SHORE_MID, 11/13/2007 1536	"
322	"UAF-WERC-NSL_WaterChem:  KDA1-CT (p. 1 of 2), 12/15/2007 1230	"
323	"UAF-WERC-NSL_WaterChem:  KDA2-CT (p. 1 of 2), 12/15/2007 1015	"
324	UAF-WERC-NSL_WaterChem:  KDA3-CT (p. 2 of 2). 12/15/2007 1400
325	UAF-WERC-NSL_WaterChem: L9312 Raft B. 12/17/2007 1030
326	"UAF-WERC-NSL_WaterChem:  L9312 Screen, 12/17/2007 1215	"
327	"UAF-WERC-NSL_WaterChem: L9312 SH, 12/17/2007 1340	"
328	"UAF-WERC-NSL_WaterChem: L9312 SH_SHORE_MID, 12/17/2007 1436	"
329	"UAF-WERC-NSL_WaterChem: Alpine WTP Raw H20 tap, 12/17/2007 1750	"
330	"UAF-WERC-NSL_WaterChem: MSBN-CT (p. 1 of 2), 12/14/2007 1400	"
331	"UAF-WERC-NSL_WaterChem: MSBS-CT (p. 1 of 2), 12/14/2007 1555	"
332	"UAF-WERC-NSL_WaterChem: KDA1-CNT, 1/8/2008 1221	"
333	"UAF-WERC-NSL_WaterChem: KDA2-CNT, 1/8/2008 1109	"
334	"UAF-WERC-NSL_WaterChem: KDA3-CNT, 1/8/2008 1415	"
335	"UAF-WERC-NSL_WaterChem: L9312 Raft B, 1/13/2008 952	"
336	"UAF-WERC-NSL_WaterChem: L9312 Screen, 1/13/2007 1036	"
337	"UAF-WERC-NSL_WaterChem: L9312 SH, 1/13/2008 1120	"
338	"UAF-WERC-NSL_WaterChem: L9312 SH_SHORE_MID, 1/13/2008 1250	"
339	"UAF-WERC-NSL_WaterChem: MSBN-CNT, 1/9/2008 1205	"
340	"UAF-WERC-NSL_WaterChem: MSBN-CNT, 1/9/2008 1327	"
341	"UAF-WERC-NSL_WaterChem: KDA1, 2/18/2008 1445	"
342	"UAF-WERC-NSL_WaterChem: KDA2, 2/18/2008 1320	"
343	"UAF-WERC-NSL_WaterChem: KDA3, 2/18/2008 1612	"
344	"UAF-WERC-NSL_WaterChem: L9312 Raft B, 2/15/2008 1009	"
345	"UAF-WERC-NSL_WaterChem: L9312 Screen, 2/15/2008 1058	"
346	"UAF-WERC-NSL_WaterChem: L9312 SH, 2/15/2008 1138	"
347	"UAF-WERC-NSL_WaterChem: L9312 SH_SHORE_MID, 2/15/2008 1227	"
348	"UAF-WERC-NSL_WaterChem: MSBN-CNT, 2/19/2008 1425	"
349	"UAF-WERC-NSL_WaterChem: MSBS-CNT, 2/19/2008 1553	"
350	"UAF-WERC-NSL_WaterChem: KDA1, 3/14/2008 1240	"
351	"UAF-WERC-NSL_WaterChem: KDA2, 3/14/2008 1127	"
352	"UAF-WERC-NSL_WaterChem: KDA3, 3/14/2008  1350	"
353	"UAF-WERC-NSL_WaterChem:  L9312 Raft B, 3/11/2008 1050	"
354	"UAF-WERC-NSL_WaterChem: L9312 Screen, 3/11/2008 1205	"
355	"UAF-WERC-NSL_WaterChem: L9312 SH, 3/11/2008 1347	"
356	"UAF-WERC-NSL_WaterChem: L9817 - 1, 3/12/2008 1052	"
357	"UAF-WERC-NSL_WaterChem: L9817 - 2, 3/12/2008 1129	"
358	"UAF-WERC-NSL_WaterChem:  L9817 - 3, 3/12/2008 1159	"
359	"UAF-WERC-NSL_WaterChem: L9817 - 4, 3/12/2008 1234	"
360	"UAF-WERC-NSL_WaterChem: L9817 - 20, 3/12/2008 1348	"
361	"UAF-WERC-NSL_WaterChem: L9817 - 22, 3/12/2008 1311	"
362	"UAF-WERC-NSL_WaterChem: L9817 - 23, 3/12/2008 1246	"
363	"UAF-WERC-NSL_WaterChem: MSBN-CT, 3/15/2008 1104	"
364	"UAF-WERC-NSL_WaterChem: MSBS-CT, 3/14/2008 1231	"
365	"UAF-WERC-NSL_WaterChem: MSBS-SW-Creek, 3/15/2008 1328	"
366	"UAF-WERC-NSL_WaterChem: K113_CT, 4/18/2008 1825	"
367	"UAF-WERC-NSL_WaterChem: L9312 Raft B, 4/15/2008 1208	"
368	"UAF-WERC-NSL_WaterChem: L9312 Screen, 4/15/2008 1329	"
369	"UAF-WERC-NSL_WaterChem: L9312 SH, 4/15/2008 1448	"
370	"UAF-WERC-NSL_WaterChem: L9817-1, 4/16/2008 1330	"
371	"UAF-WERC-NSL_WaterChem: L9817-2, 4/16/2008 1415	"
372	"UAF-WERC-NSL_WaterChem: L9817-3, 4/16/2008 1510	"
